time;RNA;PID;A;A²;;%;
7,18;10,18740707;10,01;0,17740707;0,031473268;;;
7,2;10,18740707;10,01;0,17740707;0,031473268;;;
7,22;10,18740707;10,01;0,17740707;0,031473268;;;
7,24;10,18740707;10,01;0,17740707;0,031473268;;;
7,26;10,18740707;10,01;0,17740707;0,031473268;;;
7,28;10,18740707;10,01;0,17740707;0,031473268;;;
7,3;10,18740707;10,01;0,17740707;0,031473268;;;
7,32;10,18740707;10,01;0,17740707;0,031473268;;;
7,34;10,18740707;10,01;0,17740707;0,031473268;;;
7,36;10,18740707;10,01;0,17740707;0,031473268;;;
7,38;10,18740707;10,01;0,17740707;0,031473268;;;
7,4;10,18740707;10,01;0,17740707;0,031473268;;;
7,42;10,18740707;10,01;0,17740707;0,031473268;;;
7,44;10,18740707;10,01;0,17740707;0,031473268;;;
7,46;10,18740707;10,01;0,17740707;0,031473268;;;
7,48;10,18740707;10,01;0,17740707;0,031473268;;;
7,5;10,18740707;10,01;0,17740707;0,031473268;;;
7,52;10,18740707;10,01;0,17740707;0,031473268;;;
7,54;10,18740707;10,01;0,17740707;0,031473268;;;
7,56;10,18740707;10,01;0,17740707;0,031473268;;;
7,58;10,18740707;10,01;0,17740707;0,031473268;;;
7,6;10,18740707;10,01;0,17740707;0,031473268;;;
7,62;10,18740707;10,01;0,17740707;0,031473268;;;
7,64;10,18740707;10,01;0,17740707;0,031473268;;;
7,66;10,18742109;10,01;0,17742109;0,031478243;;;
7,68;10,18742109;10,01;0,17742109;0,031478243;;;
7,7;10,18742109;10,01;0,17742109;0,031478243;;;
7,72;10,18742109;10,01;0,17742109;0,031478243;;;
7,74;10,18742109;10,01;0,17742109;0,031478243;;;
7,76;10,18742109;10,01;0,17742109;0,031478243;;;
7,78;10,18742109;10,01;0,17742109;0,031478243;;;
7,8;10,18742109;10,01;0,17742109;0,031478243;;;
7,82;10,18742109;10,01;0,17742109;0,031478243;;;
7,84;10,18742109;10,01;0,17742109;0,031478243;;;
7,86;10,18742109;10,01;0,17742109;0,031478243;;;
7,88;10,18742109;10,01;0,17742109;0,031478243;;;
7,9;10,18742109;10,01;0,17742109;0,031478243;;;
7,92;10,18742109;10,01;0,17742109;0,031478243;;;
7,94;10,18742109;10,01;0,17742109;0,031478243;;;
7,96;10,18742109;10,01;0,17742109;0,031478243;;;
7,98;10,18742109;10,01;0,17742109;0,031478243;;;
8;10,18742109;10,01;0,17742109;0,031478243;;;
8,02;10,18742109;10,01;0,17742109;0,031478243;;;
8,04;10,18742109;10,01;0,17742109;0,031478243;;;
8,06;10,18742109;10,01;0,17742109;0,031478243;;;
8,08;10,18742109;10,01;0,17742109;0,031478243;;;
8,1;10,18742109;10,01;0,17742109;0,031478243;;;
8,12;10,18742109;10,01;0,17742109;0,031478243;;;
8,14;10,18742109;10,01;0,17742109;0,031478243;;;
8,16;10,18742109;10,01;0,17742109;0,031478243;;;
8,18;10,18742109;10,01;0,17742109;0,031478243;;;
8,2;10,18742109;10,01;0,17742109;0,031478243;;;
8,22;10,18742109;10,01;0,17742109;0,031478243;;;
8,24;10,18742109;10,01;0,17742109;0,031478243;;;
8,26;10,18742109;10,01;0,17742109;0,031478243;;;
8,28;10,18742109;10,01;0,17742109;0,031478243;;;
8,3;10,18742109;10,01;0,17742109;0,031478243;;;
8,32;10,18742109;10,01;0,17742109;0,031478243;;;
8,34;10,18742109;10,01;0,17742109;0,031478243;;;
8,36;10,18742109;10,01;0,17742109;0,031478243;;;
8,38;10,18742109;10,01;0,17742109;0,031478243;;;
8,4;10,18742109;10,01;0,17742109;0,031478243;;;
8,42;10,18742109;10,01;0,17742109;0,031478243;;;
8,44;10,18742109;10,01;0,17742109;0,031478243;;;
8,46;10,18743511;10,01;0,17743511;0,031483218;;;
8,48;10,18743511;10,01;0,17743511;0,031483218;;;
8,5;10,18743511;10,01;0,17743511;0,031483218;;;
8,52;10,18743511;10,01;0,17743511;0,031483218;;;
8,54;10,18743511;10,01;0,17743511;0,031483218;;;
8,56;10,18743511;10,01;0,17743511;0,031483218;;;
8,58;10,18743511;10,01;0,17743511;0,031483218;;;
8,6;10,18743511;10,01;0,17743511;0,031483218;;;
8,62;10,18743511;10,01;0,17743511;0,031483218;;;
8,64;10,18743511;10,01;0,17743511;0,031483218;;;
8,66;10,18743511;10,01;0,17743511;0,031483218;;;
8,68;10,18743511;10,01;0,17743511;0,031483218;;;
8,7;10,18743511;10,01;0,17743511;0,031483218;;;
8,72;10,18743511;10,01;0,17743511;0,031483218;;;
8,74;10,18743511;10,01;0,17743511;0,031483218;;;
8,76;10,18743511;10,01;0,17743511;0,031483218;;;
8,78;10,18743511;10,01;0,17743511;0,031483218;;;
8,8;10,18743511;10,01;0,17743511;0,031483218;;;
8,82;10,18743511;10,01;0,17743511;0,031483218;;;
8,84;10,18743511;10,01;0,17743511;0,031483218;;;
8,86;10,18743511;10,01;0,17743511;0,031483218;;;
8,88;10,18743511;10,01;0,17743511;0,031483218;;;
8,9;10,18743511;10,01;0,17743511;0,031483218;;;
8,92;10,18743511;10,01;0,17743511;0,031483218;;;
8,94;10,18743511;10,01;0,17743511;0,031483218;;;
8,96;10,18743511;10,01;0,17743511;0,031483218;;;
8,98;10,18743511;10,01;0,17743511;0,031483218;;;
9;10,18743511;10,01;0,17743511;0,031483218;;;
9,02;10,18743511;10,01;0,17743511;0,031483218;;;
9,04;10,18743511;10,01;0,17743511;0,031483218;;;
9,06;10,18743511;10,01;0,17743511;0,031483218;;;
9,08;10,18743511;10,01;0,17743511;0,031483218;;;
9,1;10,18743511;10,01;0,17743511;0,031483218;;;
9,12;10,18743511;10,01;0,17743511;0,031483218;;;
9,14;10,18743511;10,01;0,17743511;0,031483218;;;
9,16;10,18743511;10,01;0,17743511;0,031483218;;;
9,18;10,18743511;10,01;0,17743511;0,031483218;;;
9,2;10,18743511;10,01;0,17743511;0,031483218;;;
9,22;10,18743511;10,01;0,17743511;0,031483218;;;
9,24;10,18743511;10,01;0,17743511;0,031483218;;;
9,26;10,18743511;10,01;0,17743511;0,031483218;;;
9,28;10,18743511;10,01;0,17743511;0,031483218;;;
9,3;10,18743511;10,01;0,17743511;0,031483218;;;
9,32;10,18743511;10,01;0,17743511;0,031483218;;;
9,34;10,18743511;10,01;0,17743511;0,031483218;;;
9,36;10,18743511;10,01;0,17743511;0,031483218;;;
9,38;10,18743511;10,01;0,17743511;0,031483218;;;
9,4;10,18743511;10,01;0,17743511;0,031483218;;;
9,42;10,18743511;10,01;0,17743511;0,031483218;;;
9,44;10,18743511;10,01;0,17743511;0,031483218;;;
9,46;10,18743511;10,01;0,17743511;0,031483218;;;
