,time,set point,output,process,set point test,output test,process test
298,"5,95999999999996",2,"20,02",2,5,"49,262","5,1681"
299,"5,97999999999996",2,"20,02",2,5,"49,211","5,1621"
300,"5,99999999999996",2,"20,02",2,5,"49,173","5,1558"
301,"6,01999999999996",2,"20,02",2,5,"49,147","5,1491"
302,"6,03999999999996",2,"20,02",2,5,"49,13","5,1422"
303,"6,05999999999996",2,"20,02",2,5,"49,123","5,1351"
304,"6,07999999999996",2,"20,02",2,5,"49,123","5,1279"
305,"6,09999999999996",2,"20,02",2,5,"49,131","5,1206"
306,"6,11999999999996",2,"20,02",2,5,"49,144","5,1134"
307,"6,13999999999996",2,"20,02",2,5,"49,163","5,1063"
308,"6,15999999999996",2,"20,02",2,5,"49,187","5,0993"
309,"6,17999999999996",2,"20,02",2,5,"49,214","5,0924"
310,"6,19999999999996",2,"20,02",2,5,"49,245","5,0858"
311,"6,21999999999996",2,"20,02",2,5,"49,278","5,0793"
312,"6,23999999999996",2,"20,02",2,5,"49,313","5,0731"
313,"6,25999999999995",2,"20,02",2,5,"49,349","5,0671"
314,"6,27999999999995",2,"20,02",2,5,"49,386","5,0614"
315,"6,29999999999995",2,"20,02",2,5,"49,424","5,0559"
316,"6,31999999999995",2,"20,02",2,5,"49,462","5,0508"
317,"6,33999999999995",2,"20,02",2,5,"49,5","5,0459"
318,"6,35999999999995",2,"20,02",2,5,"49,538","5,0413"
319,"6,37999999999995",2,"20,02",2,5,"49,574","5,037"
320,"6,39999999999995",2,"20,02",2,5,"49,61","5,0329"
321,"6,41999999999995",2,"20,02",2,5,"49,645","5,0292"
322,"6,43999999999995",2,"20,02",2,5,"49,679","5,0257"
323,"6,45999999999995",2,"20,02",2,5,"49,712","5,0225"
324,"6,47999999999995",2,"20,02",2,5,"49,743","5,0195"
325,"6,49999999999995",2,"20,02",2,5,"49,772","5,0168"
326,"6,51999999999995",2,"20,02",2,5,"49,801","5,0143"
327,"6,53999999999995",2,"20,02",2,5,"49,827","5,012"
328,"6,55999999999995",2,"20,02",2,5,"49,852","5,0099"
329,"6,57999999999995",2,"20,02",2,5,"49,876","5,0081"
330,"6,59999999999995",2,"20,02",2,5,"49,898","5,0064"
331,"6,61999999999995",2,"20,02",2,5,"49,918","5,0049"
332,"6,63999999999995",2,"20,02",2,5,"49,937","5,0036"
333,"6,65999999999995",2,"20,02",2,5,"49,954","5,0024"
